ioc_type,indicator,confidence,packet_range_start,packet_range_end,supporting_frames,notes,mitre_technique
ip,153.92.1.49,HIGH,1,51181,all,External destination receiving repeated HTTP and TLS sessions from 10.1.21.58; resolves to whitepepper.su,T1071.001
ip,10.1.21.58,HIGH,1,51181,all,Primary internal host; generated near-total capture volume; probable compromised workstation,T1071.001
domain,whitepepper.su,HIGH,1,51181,DNS queries,External .su TLD domain receiving beacon-style HTTP callbacks; .su historically associated with malicious infrastructure,T1071.001
uri_pattern,/api/set_agent,HIGH,1,51181,all POST/GET HTTP frames,Repeated endpoint accessed via GET and POST; consistent with C2 agent registration or check-in URI pattern,T1071.001
uri_pattern,/favicon.ico,LOW,1,51181,HTTP frames,Favicon fetch following agent check-in — standard browser behaviour post-load; secondary indicator only,T1071.001
http_method_pattern,POST /api/set_agent,HIGH,1,51181,POST frames,POST requests with id + token + act=log parameters; indicative of structured data upload to C2,T1041
http_method_pattern,GET /api/set_agent,MEDIUM,1,51181,GET frames,GET requests to same endpoint; polling or heartbeat behaviour,T1071.001
param_pattern,act=log,HIGH,1,51181,POST body frames,Explicit log-upload action parameter in POST body; indicates active data collection and transmission,T1041
param_pattern,agent=Chrome,MEDIUM,1,51181,HTTP frames,Browser agent string passed as parameter; same credential pair used for Chrome and Edge — no legitimate software shares one identity across two browsers,T1071.001
param_pattern,agent=Edge,MEDIUM,1,51181,HTTP frames,Browser agent string passed as parameter; see agent=Chrome — identical id/token used across both,T1071.001
protocol,HTTP plaintext to external,HIGH,1,51181,all HTTP frames,All /api/set_agent traffic travels unencrypted; no TLS to 153.92.1.49 on port 80 — anomalous for any legitimate agent in 2026,T1040
tls_session,153.92.1.49:443 session 1,HIGH,1,51181,frames ~1721,TLS session to whitepepper.su port 443; 1520 KB transferred — encrypted channel beyond visible HTTP surface,T1071.001
tls_session,153.92.1.49:443 session 2,HIGH,1,51181,frames ~492,Second TLS session to whitepepper.su port 443; 419 KB transferred,T1071.001
tls_session,153.92.1.49:443 session 3,HIGH,1,51181,frames ~360,Third TLS session to whitepepper.su port 443; 275 KB transferred,T1071.001
traffic_volume,51181 frames / 26.4 MB,HIGH,1,51181,all,Near-total capture dominated by single internal host; zero baseline variance consistent with automated beaconing,TA0010
